                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.98886,                0.93606,                 1.2065,                 0.4188,                  0.375,                0.26548,                0.16101,                 2.0843,                 2.5023,                 2.6504,               0.000614,               0.000614,               0.000614
                     73,                0.96148,                0.96325,                 1.2231,                0.40744,                  0.375,                0.28376,                 0.1651,                 2.1582,                 2.5616,                 2.7293,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0274,                0.95473,                 1.2485,                0.49459,                0.36824,                0.28922,                 0.1504,                 2.0852,                 2.7593,                 2.7034,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2252,                 1.2531,                 1.4305,                0.27861,                  0.375,                0.25628,                0.13806,                 2.1866,                 2.7591,                 2.8958,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.1917,                 1.1074,                 1.4971,                0.37123,                   0.25,                0.22857,                0.13584,                 2.0949,                 2.6054,                 2.6922,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0443,                0.93659,                  1.249,                0.57856,                  0.375,                0.36489,                0.15628,                 2.0772,                  2.587,                  2.573,               0.000515,               0.000515,               0.000515
                     78,                 1.0775,                0.99386,                 1.2346,                0.70557,                  0.375,                0.36671,                0.19347,                 1.9617,                 2.6561,                 2.4479,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.0194,                0.90563,                 1.2514,                 0.7204,                  0.375,                0.38553,                0.20257,                 1.8662,                 2.4449,                 2.3675,              0.0004754,              0.0004754,              0.0004754
                     80,                0.95407,                0.91351,                 1.2271,                0.66259,                0.49236,                0.43617,                 0.2223,                 1.8598,                 2.3394,                 2.3526,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1088,                0.95655,                 1.2784,                0.79432,                0.48579,                0.46947,                0.22528,                 1.8683,                 2.3124,                 2.3697,              0.0004358,              0.0004358,              0.0004358
                     82,                0.90613,                0.83089,                 1.1878,                0.62876,                    0.5,                0.40609,                0.20308,                  1.783,                 2.3709,                 2.3268,               0.000416,               0.000416,               0.000416
                     83,                0.93214,                0.87167,                  1.227,                0.64666,                    0.5,                 0.4073,                0.19405,                 1.7963,                 2.4714,                 2.3718,              0.0003962,              0.0003962,              0.0003962
                     84,                0.97468,                 1.0313,                 1.2989,                0.65858,                0.48484,                0.39931,                0.17448,                 1.8646,                 2.5795,                 2.4307,              0.0003764,              0.0003764,              0.0003764
