                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.1207,                 2.0563,                 1.0666,                 1.1663,                0.62925,                0.33333,                0.30069,                  0.228,                0.94753,                    0.5,                0.54885,                0.21318,                 1.9681,                  3.459,                 2.7212,                 2.6175,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.146,                 1.9749,                 1.0495,                 1.1737,                0.77221,                0.33333,                0.35716,                0.25627,                0.96645,                    0.5,                0.63234,                0.22269,                 1.8551,                  3.637,                  2.578,                  2.401,              0.0010694,              0.0010694,              0.0010694
                     50,                   1.11,                 2.1551,                 1.0459,                 1.1862,                0.85442,                0.33333,                0.37104,                0.23743,                0.18129,                    0.5,                0.13024,                0.03315,                 1.9847,                 4.4787,                 2.8478,                 2.3112,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0951,                 1.9865,                 1.0431,                 1.1675,                0.37015,                0.66667,                0.37604,                 0.1886,                0.09149,                0.16667,                0.04232,                 0.0209,                 1.6845,                 4.6549,                 2.9895,                 1.8296,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0851,                 2.1695,                0.98153,                 1.1749,                0.41286,                0.66667,                0.42696,                0.22745,                0.19041,                0.33333,                0.12173,                0.03483,                 1.4833,                 3.8006,                 2.6972,                 1.5182,                0.00101,                0.00101,                0.00101
                     53,                 1.1472,                 2.1737,                 1.0257,                 1.1531,                0.48267,                0.66667,                 0.4339,                0.25774,                0.48267,                0.66667,                0.47073,                0.16994,                 1.3515,                 2.9193,                 2.4858,                 1.5275,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0936,                 1.9872,                 1.0993,                 1.2096,                0.38188,                0.66667,                0.42548,                0.31577,                0.38188,                0.66667,                0.48333,                0.31138,                 1.2586,                 2.3927,                 2.6722,                 1.4984,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0145,                 1.8491,                0.97465,                 1.1153,                0.39731,                0.83333,                0.50687,                0.39043,                0.39731,                0.83333,                0.50687,                0.34248,                 1.0873,                 2.3244,                 2.7662,                 1.2857,              0.0009506,              0.0009506,              0.0009506
                     56,                0.97118,                 1.8498,                0.94431,                 1.1099,                 0.4404,                0.66667,                0.56566,                0.43564,                 0.4404,                0.66667,                0.55328,                 0.3662,                 1.2256,                 2.3751,                 2.7307,                 1.4279,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0747,                 1.8153,                 0.9237,                 1.1183,                0.50203,                    0.5,                0.62969,                0.43698,                0.50203,                    0.5,                0.57402,                0.35315,                 1.3654,                 2.4575,                 2.8703,                 1.6177,               0.000911,               0.000911,               0.000911
                     58,                 1.0005,                 1.9069,                0.91385,                 1.1118,                0.59791,                0.66667,                0.65027,                0.37535,                0.59791,                0.66667,                0.56637,                0.37043,                 1.5007,                 2.4876,                 2.9117,                 1.8738,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0357,                 2.0431,                 1.0597,                 1.1495,                0.60267,                0.83333,                0.70552,                0.40545,                0.60925,                0.66667,                0.60307,                0.37699,                 1.6149,                  2.658,                 2.6792,                 2.0691,              0.0008714,              0.0008714,              0.0008714
